Job Title,Company,Location,years,Package,Description
Full Stack Developer ASP.NET ( Contract),Talent Basket,Thiruvananthapuram / Trivandrum,4-9 Years,Not Specified,"• Concrete working experience with ASP.NET Core 3, ASP.NET MVC, JavaScript framework • Strong knowledge on libraries such as Angular 8+ and IONIC 4+ • Good Proficiency in JavaScript, TypeScript, HTML, CSS • Familiarity with RESTful APIs."
SFDC Developer,SP Software Private Limited,Bengaluru / Bangalore,3-7 Years,Not Specified,Salesforce application development experience of 3 to 7 years. Preferably BE/B.Tech.
Software Engineer For Freshers,Company Name Confidential,"Bengaluru / Bangalore, Chennai",0-2 Years,"3,10,000-4,80,000 INR",WE ARE HIRING ...
APP Developer,C P Careers Private Limited,"Bengaluru / Bangalore, Chennai",2-6 Years,0-0 INR,Job Opening for APP Developer for Chennai Location
Software Developer Fresher,Solitaire Infotech Solution,"Mumbai, Mumbai City",0-1 Years,"1,50,000-2,50,000 INR",Job Opportunity For Software Developer Freshers.
Mobile Developer,Muskaan Parveen (Proprietor Of Muskan Industry),Chennai,0-2 Years,"1,20,000-3,50,000 INR",looking for mobile developer freshers can also apply
data entry,Muskaan Parveen (Proprietor Of Muskan Industry),Bhopal,0-2 Years,"1,20,000-3,50,000 INR",looking for data entry freshers can also apply
Java/J2EE Developer,IT-Scient Consulting Private Limited,"Bengaluru / Bangalore, Hyderabad / Secunderabad",4-8 Years,Not Specified,"Core Java, J2EE, Spring Boot, Microservices, Multithreading, Data Structures, Microservices, Algorithms, OOPs, GIT, Database, Hands on Designing, Development, Coding, also refer FG JD Good to have - Elastic Search, MongoDB, Scala)"
Full Stack Developer | React JS,URS Systems Private Limited,"Bengaluru / Bangalore, Pune",6-10 Years,"10,00,000-12,00,000 INR","Excellent Knowledge of React and its core principles In-depth knowledge of Typescript, HTML, CSS, JavaScript with respect to development, testing, deployment, and performance tuning Backend development experience Experience in Node JS is must."
Mainframe WSG Developer - Bangalore -CMMI Level 5 company - Permanent - 6.5 Lakhs Max CTC,SummitWorks Technologies Private Limited,Bengaluru / Bangalore,2-5 Years,"5,00,000-6,50,000 INR",Greetings from Summitworks...!! Mainframe WSG Developer - Bangalore -CMMI Level 5 company - Permanent JD; - Mainframe Developer - WSG / ISG
Senior Sharepoint Developer,Star Knowledge Ventures LLP,Hyderabad / Secunderabad,4-9 Years,"6,50,000-11,50,000 INR","We are hiring a Senior SharePoint Developer on a permanent role in Hyderabad location. Currently, working from home. Candidate should have experience in SharePoint Development and Asp.net and Sql Server. Experience Level: 4 to 10 Years"
ASP .Net Developer,IT-Scient Consulting Private Limited,Hyderabad / Secunderabad,6-11 Years,Not Specified,"ASP.NET MVC Good to Have Skills : Python Programming Language 5 to 8 years of experience in C SHARP, Experience with AWS environment eg, Lambdas, EC2, S3, Experience with algorithms/data structures 7 Good OOPS knowledge,preferably MS SQL,POSTGRE"
Magento Lead,Jiva Internet Solutions Private Limited,Hyderabad / Secunderabad,6-11 Years,Not Specified,Magento Lead // Urgent Opening // Hyderabad
Big Data Developer,Quess IT Staffing (Formerly known as Magna Infotech),"Mumbai, Navi Mumbai",2-6 Years,Not Specified,Immediate Hiring for BIG Data Developer with our MNC Telecom Client
Software Engineer For Freshers,Bharat Service,Bengaluru / Bangalore,0-2 Years,"1,50,000-2,50,000 INR",Software Engineer
Game Developer,Gamenexa Studios Private Limited,Hyderabad / Secunderabad,1-5 Years,Not Specified,Gamenexa is hiring for the role of a Game Developer for its Hyderabad location.
Java Developer,HR Factor,Hyderabad / Secunderabad,1-3 Years,Not Specified,"Minimum 1 year of experience in Core java programming (Data Structures, Collections, Exceptions, etc. Maximum 3 years of experience only. BE/MTech/MCA graduates from Computer science from Tier I & Tier II institutes"
iOS developer,Sanda Office Management Services Private Limited,Mumbai,2-5 Years,"3,00,000-5,00,000 INR",Objective C & Swift
Salesforce Developer,IT-Scient Consulting Private Limited,Bengaluru / Bangalore,3-8 Years,"2,20,000-10,19,999 INR","Salesforce,sfdc, apex,triggers, visualforce, lightning"
Mulesoft Developer,IT-Scient Consulting Private Limited,Bengaluru / Bangalore,3-8 Years,"2,20,000-10,19,999 INR","Mulesoft ,Anypoint Platform,Web Services,Restful API/RAML"
Excellent job opportunity for Backend java with our MNC Client!!,Access Automation Private Limited,Bengaluru / Bangalore,5-8 Years,Not Specified,Excellent job opportunity for Backend java with our MNC Client!! Exp – 3to 8yrs Work location – Bangalore Mode – Permanent
Software Engineer For Freshers,Bharat Service,Delhi,0-2 Years,"1,50,000-2,50,000 INR",Software Engineer
Ab Initio Developer,IT-Scient Consulting Private Limited,"Chennai, Pune",5-10 Years,Not Specified,"Ab Initio Developer/ Lead Job Location: Chennai / Pune Role Description: Resource should have hands-on development experience with various Ab Initio components such as Rollup, Scan, join, Partition by key, Good knowledge in developing UNIX scripts,"
Angular Developer,IT-Scient Consulting Private Limited,"Kolkata, Pune",4-9 Years,Not Specified,"Strong in Angular 8, Angular Material, typescript, rxjs, NgRx, & of css (including responsive & scss). Backend is running AWS with DynamoDB & Spring Boot as the RESTful service. Ability to comprehend a piece of work, code it in Angular and test"
Java Microservices Jr. Consultant,URS Systems Private Limited,Bengaluru / Bangalore,3-5 Years,"10,00,000-15,10,000 INR","Java8 and + ;Spring Boot; Spring Batch Apache ,MOM (Message Oriented Middleware) Gradle/maven, JUnit, Mockito, Design Patterns Micro Service Design Pattern (Domain Driven Design) Cloud Native experience – with Spring Cloud Services like Spring Cloud"
Senior Developer,Company Name Confidential,Madurai,3-5 Years,0-0 INR,"* Write clean, scalable code using .NET programming languages. * Excellent troubleshooting and communication skills. * Knowledge of at least one of the .NET languages."
Senior Developer,Company Name Confidential,Madurai,3-4 Years,Not Specified,"Participate in requirements analysis Collaborate with internal teams to produce software design and architecture Write clean, scalable code using .NET programming languages Test and deploy applications and systems Revise update,refactor & debug code"
Software Engineer For Freshers,Bharat Service,Bengaluru / Bangalore,0-2 Years,"1,50,000-2,50,000 INR",Software Engineer
Software Engineer For Freshers,Bharat Service,Delhi,0-2 Years,"1,50,000-2,50,000 INR",Software Engineer
Lead Software Engineer (iOS),Crestron Software Development India Private Limited,Bengaluru / Bangalore,8-13 Years,Not Specified,Crestron is looking for individuals who can contribute towards :- • Design and Develop Crestron’s Next Generation of mobile applications. • Enhance existing products with new and advanced features using latest technologies
Software Developer,Muskaan Parveen (Proprietor Of Muskan Industry),Allahabad / Prayagraj,0-2 Years,"1,20,000-3,50,000 INR",looking for software developer freshers can also apply
computer operator,Muskaan Parveen (Proprietor Of Muskan Industry),Cochin / Kochi / Ernakulam,0-2 Years,"1,20,000-3,50,000 INR",looking for computer operator freshers can also apply
Sr Web Developer (PHP Node.js Angular React ),Effectual Infotech Private Limited,"Mohali, Chandigarh",2-7 Years,Not Specified,We are looking for 5-10 years experienced web developmer who is very well versed and experienced in latest web development technologies with a strong passion for software development.
Java springboot developer - Immediate only,Perficient India Private Limited,"Bengaluru / Bangalore, Chennai",2-7 Years,"3,00,000-13,00,000 INR",Location: Chennai & Bangalore Immediate only
Web Designer,Minda Solution Tech Mark,Cuddalore,0-2 Years,"1,20,000-3,50,000 INR",looking for web designer freshers can also apply
Node JS Developer,URS Systems Private Limited,"Bengaluru / Bangalore, Noida",6-10 Years,Not Specified,"Strong development background building complex applications using Node.JS Proficiency in server-side programming with Node.js (MVC framework -Express.js, Hapi, etc). Hands-on in async programming using Call-backs, Promises, and Async/Await."
Senior Shopify Developer,Vitalhunt Global Solutions Private Limited,Pune,5-12 Years,Not Specified,"""Shopify Developer"", ""Web Developer"", ""Application Developer"""
Angular Developer,IT-Scient Consulting Private Limited,"Kolkata, Pune",4-10 Years,Not Specified,"Exp Angular 8, Angular Material, typescript, rxjs, NgRx, & of css (including responsive & scss).Backend is running AWS with DynamoDB & Spring Boot as the RESTful service. Ability to comprehend a piece of work, code it in Angular and test use jasmine"
Anaplan Consultant,C P Careers Private Limited,"Noida, Mumbai City",2-5 Years,Not Specified,Opening for Anaplan Consultant For Noida Location
Node JS Developer,URS Systems Private Limited,"Bengaluru / Bangalore, Noida",6-10 Years,"10,00,000-12,00,000 INR","Strong development background building complex applications using Node.JS Proficiency in server-side programming with Node.js (MVC framework -Express.js, Hapi, etc). Hands-on in async programming using Call-backs, Promises, and Async/Await."
Software Engineer,Sunquest Information Systems (India) Private Limited,"Bengaluru / Bangalore, Kolkata",2-5 Years,Not Specified,"2 - 5 years of experience in development. As the member of a dynamic Product Development Team, Software Engineer / Senior Software Engineer is responsible to deliver high quality solutions in a fast-paced growth environment. Work with the Development"
UI Developer with React js,IT-Scient Consulting Private Limited,"Bengaluru / Bangalore, Hyderabad / Secunderabad",4-8 Years,Not Specified,"5+ years experience in Angular JS, React Native, React-JS, redux, NextJs, redux-thunk, redux-form Exp in Development of mobile first, web responsive design UI, & hybrid mobile apps.build on react JS, Angular JS. Exp with Java J2EE, SpringBoot,REST"
Hadoop Developer,IT-Scient Consulting Private Limited,Chennai,4-8 Years,Not Specified,"Must Have Skills • Spark • Apache Detailed Job Description: • As a Sr. Hadoop developer, you will be working on development projects related to consumer behavior, commerce, and web analytics."
Software Engineer For Freshers,Bharat Service,Mumbai,0-2 Years,"1,50,000-2,50,000 INR",Software Engineer
Senior Full Stack Developer,Millennium Ims Private Limited,Bengaluru / Bangalore,7-15 Years,"5,00,000-12,00,000 INR",Role : Full Stack Developer Years of Exp : 8+ Years
Mulesoft Developer,IT-Scient Consulting Private Limited,Bengaluru / Bangalore,3-8 Years,"2,20,000-10,19,999 INR","Mulesoft Developer ,Restful API/RAML ,Mulesoft Anypoint Platform"
Odoo Developer,Paskon (India) Private Limited,Bengaluru / Bangalore,0-2 Years,Not Specified,"As an Odoo Developer you’ll work on several projects for developing odoo modules and design Odoo website, Odoo backend and website themes. It’s a part-design, part-technical role. You will develop custom interfaces for features."
Software Testing Engineer,Infomedia Solutions And Consultant,Pune,0-2 Years,"3,00,000-6,00,000 INR",SOFTWARE TESTING ENGINEER
Node JS Developer,URS Systems Private Limited,"Bengaluru / Bangalore, Noida",6-10 Years,"10,00,000-12,00,000 INR","Strong development background building complex applications using Node.JS Proficiency in server-side programming with Node.js (MVC framework -Express.js, Hapi, etc). Hands-on in async programming using Call-backs, Promises, and Async/Await."
Software Engineer,Sunquest Information Systems (India) Private Limited,"Bengaluru / Bangalore, Kolkata",2-5 Years,Not Specified,"2 - 5 years of experience in development. As the member of a dynamic Product Development Team, Software Engineer / Senior Software Engineer is responsible to deliver high quality solutions in a fast-paced growth environment. Work with the Development"
UI Developer with React js,IT-Scient Consulting Private Limited,"Bengaluru / Bangalore, Hyderabad / Secunderabad",4-8 Years,Not Specified,"5+ years experience in Angular JS, React Native, React-JS, redux, NextJs, redux-thunk, redux-form Exp in Development of mobile first, web responsive design UI, & hybrid mobile apps.build on react JS, Angular JS. Exp with Java J2EE, SpringBoot,REST"
Hadoop Developer,IT-Scient Consulting Private Limited,Chennai,4-8 Years,Not Specified,"Must Have Skills • Spark • Apache Detailed Job Description: • As a Sr. Hadoop developer, you will be working on development projects related to consumer behavior, commerce, and web analytics."
Dot Net Developer,Vibrantzz Management Services,Mumbai,2-5 Years,Not Specified,"Job Openings for Dot Net Developer for Dadar East Location -Developer who can independently work on projects with technologies : ASP.NET, C#, MVC framework, jQuery, jSON, XML/XLST, SQL Server, MS Azure framework environment, REST API."
FPGA Design Engineer,Quess IT Staffing (Formerly known as Magna Infotech),"Bengaluru / Bangalore, Mumbai, Navi Mumbai",3-5 Years,Not Specified,Immediate Hiring for FPGA Designer with out MNC Client@Bangalore/Mumbai
Java Full Stack Developer,Vibrantzz Management Services,"Mumbai, Mumbai City, Navi Mumbai, Thane",3-5 Years,"8,00,000-10,00,000 INR",Job Opportunity for IT Company for Vashi Location Java Full Stack Developer required No of Working days : 5 Experience required 3 years to 5 years Salary Budget : 8L to 10L
Zoho CRM Developer,Space Consultancy,Bengaluru / Bangalore,5-8 Years,"6,50,000-8,50,000 INR","Zoho CRM acts as a single repository to bring your sales, marketing, and customer support activities together, and streamline your process, policy, and people in one platform."
Java SDET,URS Systems Private Limited,Bengaluru / Bangalore,4-7 Years,Not Specified,"Overall 4+ years of experience, minimum 3+ years in Core Java Experience in design/implementation and maintenance of automation frameworks (keyword driven/data driven/BDD – CUCUMBER (THIS IS A MUST)) Expert in Java coding Expert in Rest/SQL"
Software Engineer For Freshers,Bharat Service,Delhi,0-2 Years,"1,50,000-2,50,000 INR",Software Engineer
Software Engineer For Freshers,Bharat Service,Mumbai,0-2 Years,"1,50,000-2,50,000 INR",Software Engineer
Java Develper,IT-Scient Consulting Private Limited,"Kolkata, Pune",4-12 Years,Not Specified,"Experience on Java Integration with other third-party applications SOAP, REST, JSON and bulk data integrations XML schemas, and SOAP and REST based web service development Translate technical specifications,"
Java Developer,IT-Scient Consulting Private Limited,"Kolkata, Pune",4-12 Years,Not Specified,"Provides intermediate level system analysis, design, development, and implementation of UI applications for WEB based software. Experience on Java Integration with other third-party applications SOAP, REST, JSON and bulk data integrations XML schema"
Salesforce Developer,Sunsea E Services Private Limited,"Chennai, Hyderabad / Secunderabad",4-6 Years,"6,00,000-7,40,000 INR",Responsible for managing and customizing the technical side of an organization’s Salesforce instance. The primary focus will be custom Salesforce development and integration with third-party services.
Senior Software Engineer (C++),C P Careers Private Limited,Bengaluru / Bangalore,5-9 Years,Not Specified,Senior Software Engineer (C++)
Desktop Support Engineer,Solitaire Infotech Solution,Akola,0-2 Years,"1,20,000-3,50,000 INR",looking for desktop support engineer freshers can also apply
Software Developer Required In Canada / Netherlands,Proximity Immigration Private Limited,"Australia, Canada",0-5 Years,Not Specified,Minimum 1+ years of relevant experience- MUST Must have good knowledge of English - MUST Age: Must be below 40.
Bigdata and devop Engineer,SQR Infotech Private Limited,Pune,3-10 Years,Not Specified,Urgent Opening for Big data and DevOps Engineer position. Experience:- 3 to 8 Years CTC:- No bar for right candidates Location:- Pune
Software Engineer For Freshers,Bharat Service,Hyderabad / Secunderabad,0-2 Years,"1,50,000-2,50,000 INR",Software Engineer
Salesforce Developer,IT-Scient Consulting Private Limited,Bengaluru / Bangalore,3-8 Years,"2,10,000-10,19,999 INR","Salesforce, sfdc, apex, triggers, visual force, lightning, sales cloud service cloud, rest ,soap"
Senior Full Stack Developer,Millennium Ims Private Limited,Bengaluru / Bangalore,7-15 Years,"5,00,000-12,00,000 INR",Role : Full Stack Developer Years of Exp : 8+ Years
Mulesoft Developer,IT-Scient Consulting Private Limited,Bengaluru / Bangalore,3-8 Years,"2,20,000-10,19,999 INR","Mulesoft Developer ,Restful API/RAML ,Mulesoft Anypoint Platform"
Senior Software Engineer - Java/AWS,PlaceElements HR,Mumbai,5-8 Years,"14,00,000-18,00,000 INR",Hiring Senior Software Engineer with 5+ Years experience in Java/AWS for a B2B Fintech Company
ASP.NET Developer,IT-Scient Consulting Private Limited,Hyderabad / Secunderabad,4-7 Years,Not Specified,".Net Full stack Developer ,C# - Mandatory, Database, SQL Server – Mandatory, Web API-Strong, ASP.net, Design and build complex applications, Data Structures, Algorithms, validation and verification testing with unit tests Good to have - REACT/UI"
