Job Title,Company,Location,year,Package
Data Management Specialist,Aryan Solutions Pte Ltd,"Delhi, Lucknow",9-19 Years,"3,00,000-8,00,000 INR"
PART TIME WORK@Home DATA Entry/Home Based WORK/Typing JOB,Company Name Confidential,"Chennai, Delhi",2-4 Years,"3,00,000-8,00,000 INR"
Data Entry Part Time Work From Home Part Time Job typing work Data Processing Data Entry Executive,Company Name Confidential,"Ahmedabad, Delhi",2-6 Years,"1,10,000-5,40,000 INR"
Data Analyst,Advance Jobs Private Limited,"Delhi, Noida",5-8 Years,"5,50,000-8,50,000 INR"
DATA ANALYST,Advance Jobs Private Limited,"Delhi, Gurgaon / Gurugram",4-7 Years,Not Specified
Pharmacist Assistant,Muskaan Parveen (Proprietor Of Muskan Industry),Delhi,3-6 Years,"1,20,000-3,50,000 INR"
Part time/Full time Job Work from Home/Data Entry/Home Based Job l Earn Rs.10K to 60K PM --- Neha,Company Name Confidential,"Ahmedabad, Delhi",3-6 Years,"1,20,000-7,50,000 INR"
Marketing Analytics - Healthcare,Company Name Confidential,"Delhi, Noida",3-7 Years,Not Specified
Chemist,Solitaire Infotech Solution,Delhi,0-1 Years,"2,00,000-3,40,000 INR"
Data Entry Operator,Hiren B Patel (Proprietor Of Bajaj India Service),Delhi,8-10 Years,"3,20,000-4,30,000 INR"
Online Data Entry / Form Filling / Computer Operator,Aaryan Technology,"Ahmedabad, Delhi",4-9 Years,"2,10,000-3,50,000 INR"
Data Entry Operator,Shakun Sharma (Proprietor Of FM Industry),Delhi,4-8 Years,"3,20,000-4,30,000 INR"
Account Assistant/Data Entry,Rudraksha Fire Security Services,"Delhi, Faridabad",3-6 Years,Not Specified
"Trainee - Data Science, Artificial Intelligence & Data Analytics",Shri TirupatiI Balaji Education Foundation,"Delhi, Hyderabad / Secunderabad",3-6 Years,"3,60,000-5,90,000 INR"
Data administration Data Entry / home based job,Company Name Confidential,"Delhi, Kashipur",3-7 Years,"1,30,000-2,40,000 INR"
Data Entry Executive data entry Type Writing,Inflex Jobs And Consultancy Private Limited,"Delhi, Kolkata",0-1 Years,Not Specified
Data administration Data Entry / home based job,Company Name Confidential,"Delhi, Mandya",8-10 Years,"2,20,000-3,50,000 INR"
"online data entry work from home, data entry, online job from home, data entry job vacancy available",Company Name Confidential,"Delhi, Hyderabad / Secunderabad",4-9 Years,Not Specified
Senior Analyst - SAS - Economics/Statistics,Company Name Confidential,Delhi,4-8 Years,"6,00,000-8,00,000 INR"
"Data Analyst , Senior Data Analyst , Data Analyst - Tech Lead",Company Name Confidential,"Delhi, Pune",2-5 Years,"4,50,000-6,50,000 INR"
System Analyst/ Tech Architect,Yashodha S M (Proprietor Of Co Inter Technology),Delhi,6-11 Years,"2,50,000-4,00,000 INR"
Data Architect,ABC Consultants Private Limited,"Delhi, Gurgaon / Gurugram",5-10 Years,Not Specified
"Online Data Entry job, Work From Home Jobs, Home Based Job, Simple Data Entry, Home Based Data Entry",Company Name Confidential,"Delhi, Hyderabad / Secunderabad",2-12 Years,Not Specified
Online Data Entry / Form Filling / Work From Home Job / Computer Operator / Part Time Jobs,Aaryan Technology,"Ahmedabad, Delhi",3-10 Years,"2,50,000-4,50,000 INR"
"Typing Jobs, online data entry jobs, work from home jobs, part time jobs, Data Entry Jobs, Backend",Company Name Confidential,"Bengaluru / Bangalore, Delhi",2-7 Years,Not Specified
"work from home jobs for freshers, data entry jobs from home, online part time jobs for students",Company Name Confidential,"Chennai, Delhi",2-4 Years,Not Specified
Part time-Full time-Work from Home-Data Entry-Home Based-Online Data Entry-Simple Typing Job-backend,Company Name Confidential,"Delhi, Hyderabad / Secunderabad",3-10 Years,Not Specified
"part time jobs near me, work from home jobs, online data entry jobs, data entry jobs from home",Company Name Confidential,"Delhi, Mumbai, Mumbai City, Navi Mumbai, Thane",4-8 Years,Not Specified
Data Entry Operator and Basic Accounting,Shakun Sharma (Proprietor Of FM Industry),Delhi,0-1 Years,"2,00,000-2,50,000 INR"
Computer Operators,Sonu Kumar (Proprietor Of Bicano Tech Silca),"Delhi, Hyderabad / Secunderabad",5-8 Years,"1,50,000-3,00,000 INR"
Assistant Manager-Research & Development-Skincare,Anagh Management Services,Delhi,0-2 Years,"5,00,000-8,00,000 INR"
TECHNICAL MANAGER DATA CENTER,Company Name Confidential,"Delhi, Mumbai",3-8 Years,"5,09,999-7,20,000 INR"
Jobs >> Online >> Data entry,Company Name Confidential,"Delhi, Thane",0-3 Years,"1,50,000-2,50,000 INR"
Data Entry Operator,Hiren B Patel (Proprietor Of Bajaj India Service),Delhi,4-12 Years,"3,20,000-4,30,000 INR"
Data Entry Operator,Zarbex Solutions,Delhi,0-4 Years,"1,50,000-4,80,000 INR"
DATA QUALITY ANALYST,Advance Jobs Private Limited,"Delhi, Noida",0-5 Years,"4,50,000-8,50,000 INR"
Data Entry Operator,Meksa Enterprises,Delhi,5-7 Years,Not Specified
Govt. & MNC Job– Data Entry Operator | Back-End Operation Executive - 8077828639 | 7303778896,Structured Learning Assistance Consultants India Private Limited,"Delhi, Noida",2-5 Years,Not Specified
Computer Operator,Advance Jobs Private Limited,"Delhi, Noida",2-4 Years,"3,60,000-7,20,000 INR"
Data Entry Executive/Back Office Executive/ Data Entry,Zarbex Solutions,Delhi,4-9 Years,"1,50,000-4,80,000 INR"
Data Entry,Minda Solution Tech Mark,Delhi,4-9 Years,"2,20,000-4,30,000 INR"
"Online Data Entry Jobs, Work From Home Jobs, Data Entry Jobs available, Typing Jobs, Data Entry Jobs",Company Name Confidential,"Bengaluru / Bangalore, Delhi",3-7 Years,Not Specified
Pharma Content Writer,Company Name Confidential,"Delhi, Gurgaon / Gurugram",0-2 Years,Not Specified
data entry work from home,Company Name Confidential,"Ahmedabad, Delhi",2-6 Years,"1,40,000-3,10,000 INR"
Hiring for Medical Representative pharmaceutical,Company Name Confidential,Delhi,0-1 Years,"3,20,000-4,70,000 INR"
"Work From Home, Part Time, Data Entry, Online Jobs, Part Time Jobs, Work From Home Data Entry",Company Name Confidential,"Bengaluru / Bangalore, Delhi",0-2 Years,Not Specified
"Work from home, data entry job vacancy available, online jobs, work from home jobs, data entry jobs",Company Name Confidential,"Delhi, Mumbai, Mumbai City, Navi Mumbai, Thane",0-2 Years,Not Specified
Spend 2 To 3 hours a day and earn 1K-5K rupees a day-Work @ Home,Zarbex Solutions,Delhi,4-8 Years,"1,50,000-4,80,000 INR"
Data Entry Operator,Meksa Enterprises,Delhi,6-10 Years,Not Specified
H1B Visa sponsorship Software Professionals For FY21,Ana Data Consulting Private Limited,"Delhi, Mumbai",2-5 Years,Not Specified
Online Work(Home based Job)!!,Company Name Confidential,"Ahmedabad, Delhi",4-9 Years,"3,00,000-4,00,000 INR"
"Online Jobs, Work From Home, Data Entry, Online Part Time Jobs, Work From Home Jobs, Part Time Jobs",Company Name Confidential,"Chennai, Delhi",6-11 Years,Not Specified
MIS / Data Entry,Dream Jobz Consulting,"Delhi, Gurgaon / Gurugram",6-11 Years,Not Specified
Data Entry / Data Entry Operator / Data Entry Executive,Lokesh N (Proprietor of Data Provider),"Delhi, Mumbai",2-6 Years,Not Specified
we are hiring for bpo voice process and non voice process call hr Drishti = 8447905567,Call 2 Hire,"Delhi, Gurgaon / Gurugram",0-2 Years,Not Specified
we are hiring for bpo voice process and non voice process call hr Drishti = 8447905567,Call 2 Hire,"Delhi, Gurgaon / Gurugram",1-5 Years,Not Specified
we are hiring for bpo voice process and non voice process call hr Anjali = 9667773985,Call 2 Hire,"Delhi, Gurgaon / Gurugram",1-3 Years,Not Specified
we are hiring for bpo voice process and non voice process call hr Nidhi - 8447528869,Call 2 Hire,"Delhi, Gurgaon / Gurugram",2-5 Years,Not Specified
we are hiring for bpo voice process and non voice process call hr Drishti = 8447905567,Call 2 Hire,"Delhi, Gurgaon / Gurugram",3-8 Years,Not Specified
we are hiring for bpo voice process and non voice process call hr Drishti = 8447905567,Call 2 Hire,"Delhi, Gurgaon / Gurugram",3-8 Years,Not Specified
we are hiring for bpo voice process and non voice process call hr Drishti = 8447905567,Call 2 Hire,"Delhi, Gurgaon / Gurugram",5-8 Years,Not Specified
Excellent Opportunity with Lead Data Engineer,Stryde Consulting Services,"Delhi, Gurgaon / Gurugram",0-2 Years,Not Specified
weekly payment in data typing work,Company Name Confidential,"Delhi, Gurgaon / Gurugram",5-10 Years,"5,60,000-6,80,000 INR"
we are hiring for bpo voice process and non voice process call hr Nidhi - 8447528869,Call 2 Hire,"Delhi, Gurgaon / Gurugram",4-9 Years,Not Specified
we are hiring for bpo voice process and non voice process call hr Drishti = 8447905567,Call 2 Hire,"Delhi, Gurgaon / Gurugram",3-5 Years,Not Specified
we are hiring for bpo voice process and non voice process call hr Drishti = 8447905567,Call 2 Hire,"Delhi, Gurgaon / Gurugram",3-5 Years,Not Specified
we are hiring for bpo voice process and non voice process call hr Drishti = 8447905567,Call 2 Hire,"Delhi, Gurgaon / Gurugram",3-4 Years,Not Specified
weekly payment in data typing work,Company Name Confidential,"Delhi, Gurgaon / Gurugram",0-2 Years,"5,60,000-6,80,000 INR"
we are hiring for bpo voice process and non voice process call hr Drishti = 8447905567,Call 2 Hire,"Delhi, Gurgaon / Gurugram",0-2 Years,Not Specified
we are hiring for bpo voice process and non voice process call hr Drishti = 8447905567,Call 2 Hire,"Delhi, Gurgaon / Gurugram",8-13 Years,Not Specified
we are hiring for bpo voice process and non voice process call hr Anjali = 9667773985,Call 2 Hire,"Delhi, Gurgaon / Gurugram",0-2 Years,Not Specified
we are hiring for bpo voice process and non voice process call hr Anjali = 9667773985,Call 2 Hire,"Delhi, Gurgaon / Gurugram",0-2 Years,Not Specified
Genuine data entry job for students,Company Name Confidential,"Delhi, Mumbai City",2-7 Years,"1,50,000-3,40,000 INR"
Freshers /Trainee Internship in Data Science,Shri TirupatiI Balaji Education Foundation,"Delhi, Kolkata",2-7 Years,"3,00,000-5,00,000 INR"
we are hiring for bpo voice process and non voice process call hr Drishti = 8447905567,Call 2 Hire,"Delhi, Gurgaon / Gurugram",0-2 Years,Not Specified
we are hiring for bpo voice process and non voice process call hr Drishti = 8447905567,Call 2 Hire,"Delhi, Gurgaon / Gurugram",6-10 Years,Not Specified
we are hiring for bpo voice process and non voice process hr Nidhi - 8447528869,Call 2 Hire,"Delhi, Gurgaon / Gurugram",5-12 Years,Not Specified
we are hiring for bpo voice process and non voice process call hr Nidhi - 8447528869,Call 2 Hire,"Delhi, Gurgaon / Gurugram",4-10 Years,Not Specified
we are hiring for bpo voice process and non voice process call hr Nidhi - 8447528869,Call 2 Hire,"Delhi, Gurgaon / Gurugram",2-5 Years,Not Specified
we are hiring for bpo voice process and non voice process call hr Anjali = 9667773985,Call 2 Hire,"Delhi, Gurgaon / Gurugram",6-10 Years,Not Specified
we are hiring for bpo voice process and non voice process call hr Drishti = 8447905567,Call 2 Hire,"Delhi, Gurgaon / Gurugram",2-5 Years,Not Specified
we are hiring for bpo voice process and non voice process call hr Drishti = 8447905567,Call 2 Hire,"Delhi, Gurgaon / Gurugram",4-8 Years,Not Specified
we are hiring for bpo voice process and non voice process call hr Anjali = 9667773985,Call 2 Hire,"Delhi, Gurgaon / Gurugram",4-8 Years,Not Specified
we are hiring for bpo voice process and non voice process call hr Drishti = 8447905567,Call 2 Hire,"Delhi, Gurgaon / Gurugram",0-2 Years,Not Specified
we are hiring for bpo voice process and non voice process hr Nidhi - 8447528869,Call 2 Hire,"Delhi, Gurgaon / Gurugram",7-15 Years,Not Specified
we are hiring for bpo voice process and non voice process call hr Anjali = 9667773985,Call 2 Hire,"Delhi, Gurgaon / Gurugram",3-8 Years,Not Specified
we are hiring for bpo voice process and non voice process call hr Drishti = 8447905567,Call 2 Hire,"Delhi, Gurgaon / Gurugram",0-2 Years,Not Specified
Vacancy Open For Interested Candidate For Data Entry Work From Home | Earn Upto 60k PM,Risika Softech Solutions,"Delhi, Gurgaon / Gurugram",0-2 Years,"1,20,000-4,80,000 INR"
Vacancy Open For Interested Candidate For Data Entry Work From Home | Earn Upto 60k PM,Risika Softech Solutions,"Delhi, Gurgaon / Gurugram",6-10 Years,"1,20,000-4,80,000 INR"
Computer Operator/data Entry/bpo,Muskaan Parveen (Proprietor Of Muskan Industry),Delhi,2-5 Years,"1,30,000-3,50,000 INR"
Part time/Full time Job Work from Home/Data Entry Typing Job,Zarbex Solutions,Delhi,4-8 Years,"1,50,000-4,80,000 INR"
Job for Data Engineer contract position in Delhi location 3+ Years,Quess IT Staffing (Formerly known as Magna Infotech),Delhi,4-8 Years,Not Specified
Database Executive,Jp Response Management Company Private Limited,Delhi,2-5 Years,"1,10,000-2,20,000 INR"
Part Time Typing Work / Home Based Work / Freelancer / Data Entry Job,Zarbex Solutions,Delhi,3-5 Years,"1,50,000-4,80,000 INR"
Full Time Part Time Typing Work / Home Based Work / Freelancer Job,Zarbex Solutions,Delhi,3-5 Years,"1,50,000-4,80,000 INR"
"Good home job data, entry at home",Company Name Confidential,"Ahmedabad, Delhi",5-8 Years,"1,70,000-2,10,000 INR"
HOME BASED PART TIME JOB SALARY PDF TO MS WORD TYPING WORK OFFLINE DATA ENTRY WORK,Company Name Confidential,"Delhi, Ajmer",4-7 Years,"1,50,000-3,10,000 INR"
Data to job without interview and earn money,Company Name Confidential,"Chennai, Delhi",0-2 Years,"1,60,000-2,70,000 INR"
Fresher - Internship - Business Analytics / Data Analytics - Online,Shri TirupatiI Balaji Education Foundation,"Ahmedabad, Delhi",0-2 Years,"3,00,000-5,00,000 INR"
Fresher - Internship - Business Analytics / Data Analytics - Online,Shri TirupatiI Balaji Education Foundation,"Ahmedabad, Delhi",4-12 Years,"3,00,000-5,00,000 INR"
"PART TIME , UNDERGRADUATE , GRADUATE , FRESHERS ,",Freelancer Harish Kumar Ksheersagar,"Delhi, Ghaziabad",4-12 Years,Not Specified
Urgent opening Data Entry Back Office,Solitaire Infotech Solution,Delhi,4-6 Years,"2,20,000-4,30,000 INR"
Backend / Computer Data Entry Operator / BPO / Back Office Executive JOBS,Company Name Confidential,"Delhi, Gurgaon / Gurugram",5-9 Years,"1,60,000-4,00,000 INR"
9873467535 Part Time Full Time Data Typing Work / Work From Home / Freelancer Job,Zarbex Solutions,Delhi,0-2 Years,"1,50,000-4,80,000 INR"
"female , .., fresher , undergraduate , graduate",Freelancer Harish Kumar Ksheersagar,"Delhi, Ghaziabad",0-5 Years,Not Specified
Backend Executive(non Voice Process) Work from Home,Zarbex Solutions,Delhi,3-10 Years,"1,50,000-4,80,000 INR"
we are hiring for bpo voice process and non voice process hr Bhavya - 8447528869,Call 2 Hire,"Delhi, Gurgaon / Gurugram",0-2 Years,Not Specified
we are hiring for bpo voice process and non voice process hr Avnii - 8447905567,Call 2 Hire,"Delhi, Gurgaon / Gurugram",3-8 Years,Not Specified
we are hiring for bpo voice process and non voice process hr Avnii - 8447905567,Call 2 Hire,"Delhi, Gurgaon / Gurugram",7-15 Years,Not Specified
we are hiring for bpo voice process and non voice process hr Bhavya - 8447528869,Call 2 Hire,"Delhi, Gurgaon / Gurugram",3-8 Years,Not Specified
we are hiring for bpo voice process and non voice process hr Bhavya - 8447528869,Call 2 Hire,"Delhi, Gurgaon / Gurugram",5-8 Years,Not Specified
we are hiring for bpo voice process and non voice process hr Avnii - 8447905567,Call 2 Hire,"Delhi, Gurgaon / Gurugram",4-7 Years,Not Specified
